GWAS_ID,QTL_ID,Locus,Gene,PP4,n_snps
EUR_BIP,stage4_apa,rs11167957,XM_047416660.1|TCERG1|chr5:146481447-146482656|+,0.186252551129272,1326
EUR_BIP,stage1_apa,rs11167957,XM_017008985.2|TCERG1|chr5:146481447-146482422|+,0.169882733408784,1436
EUR_BIP,stage1_apa,rs11167957,XM_047416660.1|TCERG1|chr5:146481447-146482656|+,0.13703063321653,1436
EUR_BIP,stage1_apa,rs11167957,NM_020117.11|LARS1|chr5:146113034-146114311|-,0.107487984138611,781
EUR_BIP,stage1_apa,rs11167957,NM_001271948.2|PPP2R2B|chr5:146580742-146590226|-,0.0890218123574971,1492
EUR_BIP,stage3_apa,rs11167957,XR_001742922.2|LOC107986461|chr5:146752342-146766300|-,0.0834029579427859,1492
EUR_BIP,stage2_apa,rs11167957,XR_001742933.2|LOC105378218|chr5:147726120-147726506|+,0.083002016381164,1222
EUR_BIP,stage2_apa,rs11167957,NM_001197294.2|DPYSL3|chr5:147390808-147394123|-,0.0822858144081685,1492
EUR_BIP,stage2_apa,rs11167957,NM_020117.11|LARS1|chr5:146113034-146114311|-,0.0817189428317688,781
EUR_BIP,stage3_apa,rs11167957,XR_001742933.2|LOC105378218|chr5:147726120-147726506|+,0.0808843975773776,1222
EUR_BIP,stage2_apa,rs11167957,NR_174421.1|TCERG1|chr5:146511231-146511961|+,0.0762250661089862,1452
EUR_BIP,stage2_apa,rs11167957,XM_047416659.1|TCERG1|chr5:146510441-146511961|+,0.0737610757122779,1452
EUR_BIP,stage2_apa,rs11167957,NM_018989.2|RBM27|chr5:146285947-146289223|+,0.0722862517184421,1217
EUR_BIP,stage2_apa,rs11167957,XM_017008985.2|TCERG1|chr5:146481447-146482422|+,0.0709090403005818,1436
EUR_BIP,stage1_apa,rs11167957,NR_174421.1|TCERG1|chr5:146511231-146511961|+,0.0704827228211343,1452
EUR_BIP,stage3_apa,rs11167957,XM_047416660.1|TCERG1|chr5:146481447-146482656|+,0.0695197973414172,1436
EUR_BIP,stage2_apa,rs11167957,NM_181677.2|PPP2R2B|chr5:146589504-146590226|-,0.0682125784477225,1492
EUR_BIP,stage3_apa,rs11167957,NM_020117.11|LARS1|chr5:146113034-146114311|-,0.0677774398652284,781
EUR_BIP,stage3_apa,rs11167957,XM_017008985.2|TCERG1|chr5:146481447-146482422|+,0.0677151371648889,1436
EUR_BIP,stage2_apa,rs11167957,XR_001742922.2|LOC107986461|chr5:146752342-146766300|-,0.0674330401625121,1492
EUR_BIP,stage2_apa,rs11167957,NM_001270941.2|JAKMIP2|chr5:147585438-147591686|-,0.0671339274757747,1460
EUR_BIP,stage1_apa,rs11167957,NM_018989.2|RBM27|chr5:146285947-146289223|+,0.0671251547288018,1217
EUR_BIP,stage2_apa,rs11167957,XM_047416660.1|TCERG1|chr5:146481447-146482656|+,0.06644631049351,1436
EUR_BIP,stage2_apa,rs11167957,NM_001271948.2|PPP2R2B|chr5:146580742-146590226|-,0.065281687313033,1492
EUR_BIP,stage3_apa,rs11167957,NM_181677.2|PPP2R2B|chr5:146589504-146590226|-,0.0651291967088046,1492
EUR_BIP,stage4_apa,rs11167957,XR_001742922.2|LOC107986461|chr5:146752342-146766300|-,0.0641938759576299,1382
EUR_BIP,stage1_apa,rs11167957,NM_001197294.2|DPYSL3|chr5:147390808-147394123|-,0.0621358706995787,1492
EUR_BIP,stage1_apa,rs11167957,XM_047416659.1|TCERG1|chr5:146510441-146511961|+,0.0614360008207737,1452
EUR_BIP,stage1_apa,rs11167957,XR_001742933.2|LOC105378218|chr5:147726120-147726506|+,0.0612493343059295,1222
EUR_BIP,stage1_apa,rs11167957,NM_181677.2|PPP2R2B|chr5:146589504-146590226|-,0.0597741726707225,1492
EUR_BIP,stage1_apa,rs11167957,NM_001270941.2|JAKMIP2|chr5:147585438-147591686|-,0.0591129171415332,1460
EUR_BIP,stage3_apa,rs11167957,NM_001270941.2|JAKMIP2|chr5:147585438-147591686|-,0.0582131739984051,1460
EUR_BIP,stage1_apa,rs11167957,XR_001742922.2|LOC107986461|chr5:146752342-146766300|-,0.0581341431775682,1492
